scenario,month,business_unit,category,line,value
ly_actual,1,italy,beverages,revenue,3216482.79
ly_actual,1,italy,beverages,cogs_materials,1156647.21
ly_actual,1,italy,beverages,cogs_production,447734.4
ly_actual,1,italy,beverages,cogs_logistics,261178.4
ly_actual,1,italy,beverages,opex_marketing,347540.52
ly_actual,1,italy,beverages,opex_sales,289483.45
ly_actual,1,italy,beverages,opex_gna,189506.97
ly_actual,1,italy,beverages,opex_rnd,56852.09
ly_actual,1,italy,beverages,d_and_a,127552.77
ly_actual,1,italy,snacks,revenue,2486913.46
ly_actual,1,italy,snacks,cogs_materials,848037.49
ly_actual,1,italy,snacks,cogs_production,328272.58
ly_actual,1,italy,snacks,cogs_logistics,191492.34
ly_actual,1,italy,snacks,opex_marketing,274635.91
ly_actual,1,italy,snacks,opex_sales,223822.21
ly_actual,1,italy,snacks,opex_gna,138822.05
ly_actual,1,italy,snacks,opex_rnd,41646.62
ly_actual,1,italy,snacks,d_and_a,93437.92
ly_actual,1,italy,dairy,revenue,2668818.81
ly_actual,1,italy,dairy,cogs_materials,1125174.01
ly_actual,1,italy,dairy,cogs_production,435551.23
ly_actual,1,italy,dairy,cogs_logistics,254071.55
ly_actual,1,italy,dairy,opex_marketing,281136.34
ly_actual,1,italy,dairy,opex_sales,240193.69
ly_actual,1,italy,dairy,opex_gna,132420.25
ly_actual,1,italy,dairy,opex_rnd,39726.08
ly_actual,1,italy,dairy,d_and_a,89129.01
ly_actual,1,italy,home_care,revenue,1535663.57
ly_actual,1,italy,home_care,cogs_materials,571266.85
ly_actual,1,italy,home_care,cogs_production,221135.55
ly_actual,1,italy,home_care,cogs_logistics,128995.74
ly_actual,1,italy,home_care,opex_marketing,169649.62
ly_actual,1,italy,home_care,opex_sales,138209.72
ly_actual,1,italy,home_care,opex_gna,80785.53
ly_actual,1,italy,home_care,opex_rnd,24235.66
ly_actual,1,italy,home_care,d_and_a,54374.88
ly_actual,1,italy,personal_care,revenue,1252602.85
ly_actual,1,italy,personal_care,cogs_materials,372774.61
ly_actual,1,italy,personal_care,cogs_production,144299.85
ly_actual,1,italy,personal_care,cogs_logistics,84174.91
ly_actual,1,italy,personal_care,opex_marketing,135567.46
ly_actual,1,italy,personal_care,opex_sales,112734.26
ly_actual,1,italy,personal_care,opex_gna,69329.43
ly_actual,1,italy,personal_care,opex_rnd,20798.83
